State and District,CDID,Median Age,White,Black,AI/AN,Asian,PI,Other,Two Plus,Emp-LF Ratio,High School,Bachelor,Advanced,% households w/ married couples,% households w/ seniors,% poverty
Alabama,,38.9,68.4,26.5,0.5,1.3,0,1.4,1.8,62.7,85.3,24.5,9.1,49.2,24.7,18
Congressional District 1 (115th Congress),AL,40,67.3,27.7,1,1.4,0,0.8,1.7,61.8,87,24,8.2,50.4,25.8,18
Congressional District 2 (115th Congress),AL,38.5,64.3,31.1,0.4,1.1,0,1.1,2,62.2,84.1,22.1,8.4,48.2,25.1,18.8
Congressional District 3 (115th Congress),AL,38.1,69.7,25.4,0.3,1.7,0,1,1.9,61.7,84,21.5,8.8,45.9,24.1,18.7
Congressional District 4 (115th Congress),AL,40.7,87.7,7,0.8,0.6,0.1,1.9,1.8,60.9,80.9,16.9,6.5,54.9,27.5,18.5
Congressional District 5 (115th Congress),AL,39.5,76.4,17.4,0.6,1.7,0.1,1.3,2.6,66,87.1,30.8,11.3,51.9,24.2,15
Congressional District 6 (115th Congress),AL,39.1,79.1,14.9,0.3,1.7,0,2.3,1.6,69.3,90,36,13.7,56.9,22.5,10.7
Congressional District 7 (115th Congress),AL,36.3,33.1,63.4,0.2,0.8,0,1.3,1.2,57,83.9,19.6,6.9,34.5,23.9,26.6
Alaska,,34.5,65.3,3.2,14.2,6.2,1.2,1.4,8.5,70.1,92.4,29,10.4,50.6,14.2,10.2
Congressional District 0 (115th Congress),AK,34.5,65.3,3.2,14.2,6.2,1.2,1.4,8.5,70.1,92.4,29,10.4,50.6,14.2,10.2
Arizona,,37.7,77.5,4.3,4.4,3.1,0.2,7,3.5,65.9,86.5,28.4,10.7,49.6,24.7,17
Congressional District 1 (115th Congress),AZ,37.6,65.2,2.3,23.3,1.6,0.2,3.8,3.6,56.8,85.9,24.1,9.7,50.6,30,20.9
Congressional District 2 (115th Congress),AZ,41.4,81.1,4,1.5,3,0.2,5.8,4.4,65.6,90.7,33.9,14.4,55.9,31.7,15.9
Congressional District 3 (115th Congress),AZ,31.8,70.8,4.6,4.3,1.8,0.1,14.8,3.6,62.1,75.8,16,5.4,46.1,19.6,22.5
Congressional District 4 (115th Congress),AZ,48.1,88.4,1.9,1.8,1.3,0.2,3.9,2.5,58.6,87,18.8,7,40.4,14.3,15
Congressional District 5 (115th Congress),AZ,38,85.1,3.1,1.1,4.6,0.2,2.7,3.1,72.4,92.9,35.3,12.5,44.6,20.4,9
Congressional District 6 (115th Congress),AZ,42.3,85.1,2.6,1.6,4.7,0.1,2.8,2.9,71.9,92.5,43.4,16.4,56.9,24.3,11.6
Congressional District 7 (115th Congress),AZ,29.7,62.5,9.9,2.8,2.5,0.2,18.3,3.8,62,68,13.9,4.6,48.9,23.6,31.1
Congressional District 8 (115th Congress),AZ,43.1,84.3,4.3,0.9,3.6,0.2,3.3,3.4,69.2,92,29.1,10.3,49.4,30,9.3
Congressional District 9 (115th Congress),AZ,33.5,75.2,5.7,2.8,5,0.3,7,4,73.1,89.3,37.7,14.3,50.8,25.2,17.5
Arkansas,,38.1,77.3,15.4,0.7,1.4,0.2,2.5,2.4,64.4,85.6,22,7.9,50.6,27.3,18.1
Congressional District 1 (115th Congress),AR,39.7,78,17.8,0.4,0.5,0.1,1,2.1,60.6,83.4,16,5.5,48.6,22.2,20
Congressional District 2 (115th Congress),AR,37.4,71.8,22.3,0.3,1.6,0.1,1.4,2.6,67.5,89.5,29.2,11,54.4,23.4,15.7
Congressional District 3 (115th Congress),AR,35.5,84.4,3,1.1,2.9,0.8,4.8,3.1,67.8,85.2,26.5,9.4,49.1,28.6,16.3
Congressional District 4 (115th Congress),AR,40.8,74.6,19.4,0.8,0.6,0,2.8,1.8,61,84.2,16.1,5.5,49.9,22.7,20.8
California,,36.5,60.6,5.8,0.7,14.1,0.4,13.7,4.7,66.8,82.5,32.6,12.2,46.8,24.8,15.1
Congressional District 1 (115th Congress),CA,42.3,86.1,1.5,1.9,2.8,0.2,2.9,4.7,59.4,89.6,24,8.4,49.8,27.1,17.9
Congressional District 2 (115th Congress),CA,44.3,80.1,1.4,2.2,3.7,0.2,7.4,5,67.6,90.5,40.7,16.2,54.7,23.7,12.7
Congressional District 3 (115th Congress),CA,35.2,66.1,6.2,1,11.2,0.5,8.8,6.2,62.3,83.7,24.7,9.4,57.1,26.5,15.6
Congressional District 4 (115th Congress),CA,44.6,85.2,1.3,1,5,0.2,2.9,4.4,65.7,93,32.7,11.3,38,20.7,9.7
Congressional District 5 (115th Congress),CA,40.2,64,6.4,1,11.1,0.5,11.2,5.9,70.2,87.1,31,10.3,48.1,25,11.3
Congressional District 6 (115th Congress),CA,34.4,52.4,12.6,0.8,15.6,1.4,10.2,7.1,64.4,84.1,27.7,9.6,49.8,22.3,21.2
Congressional District 7 (115th Congress),CA,38.7,64.2,7.3,0.6,15.5,0.8,4.3,7.2,66.9,90.1,33,11.1,30.1,22.4,12.2
Congressional District 8 (115th Congress),CA,34.2,76.5,7.9,1.4,3.1,0.3,6.2,4.6,57.3,82.8,16.4,6.3,35.9,20.9,20.6
Congressional District 9 (115th Congress),CA,35,54.4,8.9,0.6,14.5,0.6,11.3,9.6,62.4,80.2,19.8,6.2,55.2,23.7,16.8
Congressional District 10 (115th Congress),CA,34.6,72.5,3.3,0.7,6.9,0.7,10.7,5.3,63.1,79.5,17.3,5.3,59.2,20.5,15.3
Congressional District 11 (115th Congress),CA,39.7,61,8,0.4,13.8,0.5,10.1,6.2,69.4,88.1,43,16.1,52.7,26.4,10.6
Congressional District 12 (115th Congress),CA,38.2,49.5,5.3,0.4,32.1,0.4,7.1,5.1,77.3,88.2,57.4,23.2,54.7,22.3,11.8
Congressional District 13 (115th Congress),CA,36.8,43,17.5,0.8,20.8,0.6,10.4,7,69.7,84.9,46.8,21.1,53.3,22.8,16.4
Congressional District 14 (115th Congress),CA,39.4,45.7,3,0.3,33.5,1.4,10.7,5.4,75.2,88.4,46.1,17.8,55,20.5,7.6
Congressional District 15 (115th Congress),CA,38.5,46.6,5.9,0.5,32.5,1,7.4,6,72.5,89.7,43.3,16.6,54,20.9,7.3
Congressional District 16 (115th Congress),CA,30.8,57.9,5.7,1.1,9.3,0.2,21.9,4,56.1,66.8,12.3,3.9,50.8,22.5,29.3
Congressional District 17 (115th Congress),CA,36.8,30.7,2.5,0.3,53.4,0.5,7.9,4.6,71.9,91.2,55.8,26.9,50.6,21.3,6.7
Congressional District 18 (115th Congress),CA,39.8,64.4,1.9,0.3,22.6,0.3,5.5,5,72.8,93.4,61.8,31.7,53.7,24,6.9
Congressional District 19 (115th Congress),CA,36.7,43.9,2.9,0.7,27.9,0.4,18.8,5.3,71.7,80.5,34.3,12.2,49.7,19.6,10.9
Congressional District 20 (115th Congress),CA,34.9,69.5,1.9,0.7,5.2,0.3,18.1,4.3,65.3,75.6,27.4,10.8,55.4,21.8,14.9
Congressional District 21 (115th Congress),CA,30,71.5,4,1.1,3.2,0.2,17.4,2.8,54.6,59.2,8.2,2.3,52.5,22.3,29.3
Congressional District 22 (115th Congress),CA,32.2,73.2,3.2,0.9,7.9,0.2,10.5,4.1,64.3,80.4,24.2,8.4,47,24.5,19.8
Congressional District 23 (115th Congress),CA,34.5,74.6,6.6,1.1,5.2,0.2,8.2,4,59.3,82.4,20,6.9,59.1,24.9,19
Congressional District 24 (115th Congress),CA,36,79.1,1.9,0.8,4.7,0.1,9.3,4,67.7,84.7,33.6,13.3,56.1,18.6,14.8
Congressional District 25 (115th Congress),CA,35.8,64.2,7.9,0.7,8.3,0.2,13.3,5.4,64.1,85.2,27.3,9.2,57.4,23.8,13.4
Congressional District 26 (115th Congress),CA,38,79.9,1.8,0.8,6.8,0.2,6.1,4.3,70.4,82.7,32.8,12.5,47.3,22.2,10.9
Congressional District 27 (115th Congress),CA,41.2,39.3,4.5,0.4,38.5,0.2,13.4,3.6,69.2,85.5,41.9,16.8,43,20,12.6
Congressional District 28 (115th Congress),CA,40.3,67.1,2.9,0.4,13.5,0.1,11.9,4.1,72.3,87.4,45.2,15.1,48.4,25.9,15
Congressional District 29 (115th Congress),CA,35.3,56.8,3.8,0.5,7.8,0.1,28.6,2.4,67.5,68.9,19.3,4.7,39.7,23.5,19.9
Congressional District 30 (115th Congress),CA,39.3,65.8,4.7,0.4,12.7,0.1,11.8,4.5,71.6,88.4,42.5,14.6,38.3,18,11.5
Congressional District 31 (115th Congress),CA,33,61.5,10.7,0.7,7.8,0.3,14.3,4.8,61.9,80,23.5,8.6,54.5,25.9,19
Congressional District 32 (115th Congress),CA,37.1,46,2.8,0.8,18.2,0.3,28.4,3.6,66.5,75.1,21,6,31.6,19.7,13.5
Congressional District 33 (115th Congress),CA,41.2,73.3,2.9,0.3,14.4,0.2,3.6,5.3,70.5,95.7,63.9,27.5,45.5,20.4,9
Congressional District 34 (115th Congress),CA,34.8,40.1,4.4,1.1,19.6,0.2,31.7,2.9,67,65.5,25.2,7,38.4,19.8,26.3
Congressional District 35 (115th Congress),CA,32.6,48.6,6.6,0.9,7,0.4,32.1,4.4,62.7,70.5,15.3,4.1,42.4,20.2,16.9
Congressional District 36 (115th Congress),CA,43.7,68.8,4.5,1.2,3.3,0.2,18.5,3.5,59.9,80,20.8,8,40.2,19.2,19.8
Congressional District 37 (115th Congress),CA,35.5,42.2,23,0.8,10.2,0.1,19.9,3.8,67.6,80.3,37.8,15.3,54.9,26.2,20.1
Congressional District 38 (115th Congress),CA,37,48.3,4,0.7,15.4,0.3,27.7,3.7,66.2,79.3,22.5,6.9,56.5,22.6,11.8
Congressional District 39 (115th Congress),CA,38.4,52.2,2.4,0.5,30.7,0.3,10,4,69.3,88.8,41.1,13.6,55.2,24.7,10
Congressional District 40 (115th Congress),CA,30.6,54.8,4.8,0.7,2.6,0.3,35.1,1.8,63.5,53.7,9.5,2.5,52.3,25.8,25.2
Congressional District 41 (115th Congress),CA,30.7,50.7,9.2,0.7,5.6,0.3,29.6,3.8,62.5,75.1,17,6.3,63.1,21.4,17.7
Congressional District 42 (115th Congress),CA,34.6,64.3,5.5,0.6,9.3,0.4,14.1,5.7,64.7,86.3,25.1,8.6,53.9,16.2,10.7
Congressional District 43 (115th Congress),CA,36.1,35.3,22.7,0.6,12.8,0.5,23.2,5,66.7,77.4,25.5,7.9,59.4,19,18.9
Congressional District 44 (115th Congress),CA,32.3,45,15.9,1,5.9,0.6,28.2,3.3,62.3,63.6,12.6,3.3,52.1,29.4,21.7
Congressional District 45 (115th Congress),CA,38.8,62.5,1.9,0.4,24,0.2,6.3,4.8,70.8,93.6,53.8,21.1,50.2,27.1,9.2
Congressional District 46 (115th Congress),CA,32.4,57.7,1.7,0.5,12.9,0.3,24.5,2.4,68.9,66.5,18,4.6,55.2,19.9,18.2
Congressional District 47 (115th Congress),CA,37.5,54.5,7.4,1,22.4,0.7,9.6,4.4,68.4,81.7,31.1,10.7,51.8,23.6,16.3
Congressional District 48 (115th Congress),CA,42.9,67.3,1.2,0.4,18.1,0.4,8.4,4.2,72.5,89.3,44.4,16.1,58.3,24.4,10.3
Congressional District 49 (115th Congress),CA,39.5,79,2.7,0.4,6.8,0.3,6.2,4.5,70,90.4,44.1,17.1,56.2,22.8,9.6
Congressional District 50 (115th Congress),CA,37.3,77.3,2.8,1.2,5.7,0.4,7.2,5.4,67.9,86,27.8,9.4,54.1,24.5,12.2
Congressional District 51 (115th Congress),CA,32.5,64.4,6.8,0.7,8.2,0.4,15.4,4,58.8,69.1,14.2,3.9,54.6,22.5,22.7
Congressional District 52 (115th Congress),CA,36.2,68.7,3,0.4,19.9,0.4,2.4,5.3,71.8,95.2,57.6,24.8,32.4,17.7,9.5
Congressional District 53 (115th Congress),CA,35.2,65,8.2,0.5,13.5,0.6,6.1,6.2,70.2,88.7,37.1,13.3,50.6,18.6,13.1
Colorado,,36.8,84.2,4.1,0.9,3,0.2,4.1,3.5,73.3,91.1,39.4,14.6,34.6,18.3,11.5
Congressional District 1 (115th Congress),CO,35.2,78.7,8.3,0.9,3.4,0.1,5.2,3.4,75.8,87.9,46.2,17.7,51.3,14,14
Congressional District 2 (115th Congress),CO,38.1,90.6,0.9,0.5,3.1,0.1,1.9,2.9,74.7,96.2,53.9,22.3,52.5,24.2,10.9
Congressional District 3 (115th Congress),CO,40.3,88.4,1,2.3,0.7,0.1,4.9,2.5,68.8,90,30.3,10.2,53.4,19.3,15.2
Congressional District 4 (115th Congress),CO,37.1,89.5,1.3,0.7,1.9,0.1,3.5,2.9,72.7,90.6,34.5,11.6,53.1,18.8,9.7
Congressional District 5 (115th Congress),CO,35.6,81.2,5.7,0.7,2.5,0.4,4.3,5.3,68,93.4,35.5,13.8,63.2,15.9,11.2
Congressional District 6 (115th Congress),CO,36.5,73.6,9.2,0.6,6,0.2,6.3,4.2,75.9,91.8,42,14.8,46.1,19.8,9.2
Congressional District 7 (115th Congress),CO,36.1,87.7,1.7,1.1,3.3,0.1,3,3.2,75.9,88.4,32.4,11.3,51,25,10.5
Connecticut,,40.9,76.7,10.5,0.3,4.4,0,5.1,3.1,72,90.2,38.4,17,46.4,25.5,10.1
Congressional District 1 (115th Congress),CT,40.6,69.9,15.2,0.3,5,0,6,3.5,72.6,89.4,36.9,15.8,55.3,24.3,11.1
Congressional District 2 (115th Congress),CT,42.6,86.3,4,0.4,3.3,0,2.3,3.6,72.7,92.3,34.7,15.1,47.6,25.2,8.4
Congressional District 3 (115th Congress),CT,39.4,73.3,13.8,0.2,4.3,0,5.4,3,71.4,90.9,35.9,16.8,53.8,25,11.3
Congressional District 4 (115th Congress),CT,40,73,12.4,0.3,5.3,0,6.1,2.9,71.1,89.6,48.7,22,52.1,25,9
Congressional District 5 (115th Congress),CT,42.4,81.1,6.7,0.2,3.8,0,5.7,2.4,72.1,89,35.8,15.2,49.9,25.1,10.6
Delaware,,40.1,69.1,21.9,0.4,3.9,0,2,2.8,69.1,89.3,31,12.9,49.9,25.1,12.1
Congressional District 0 (115th Congress),DE,40.1,69.1,21.9,0.4,3.9,0,2,2.8,69.1,89.3,31,12.9,22.4,20.7,12.1
District of Columbia,,34,40.7,47.7,0.3,3.8,0,4.6,2.9,70.5,90.3,56.6,32.8,22.4,20.7,17.4
Delegate District 0 (115th Congress),DC,34,40.7,47.7,0.3,3.8,0,4.6,2.9,70.5,90.3,56.6,32.8,48.3,29.8,17.4
Florida,,42,75.7,16.1,0.3,2.7,0.1,2.6,2.5,66.9,87.6,28.5,10.3,50.6,24.9,15.5
Congressional District 1 (115th Congress),FL,38.5,76.9,13.3,0.5,2.5,0.2,2.1,4.5,65.8,90.2,27.1,9.4,44.7,23.2,13.3
Congressional District 2 (115th Congress),FL,41.9,81.8,12.9,0.5,1.7,0.1,0.7,2.3,59.4,86.6,23.3,9.2,34.1,21.7,16.4
Congressional District 3 (115th Congress),FL,37.6,76,16.1,0.3,3.4,0.1,1,3.2,60.8,88.2,26.3,10.9,49.4,21.2,19.1
Congressional District 4 (115th Congress),FL,39.6,82,9.1,0.2,4.6,0.1,1.1,3,71.8,93.3,38.7,13.5,58.4,38.1,9.7
Congressional District 5 (115th Congress),FL,34,45.5,47.6,0.3,2.6,0.1,1.4,2.6,61.4,85,20.1,6.5,51.3,28.6,24.3
Congressional District 6 (115th Congress),FL,47.9,83.5,10.3,0.4,1.8,0.1,1.9,2,63.3,89.8,23.1,8.3,51.5,29.5,15.3
Congressional District 7 (115th Congress),FL,36.5,78,10.8,0.2,4.4,0.1,3.4,3.2,68.9,92.9,38.2,12.8,48.1,23,14.4
Congressional District 8 (115th Congress),FL,48.5,83.5,9.8,0.3,2.2,0.1,1.4,2.7,64.5,91,28.2,10.9,51.7,29.3,13.3
Congressional District 9 (115th Congress),FL,38.3,74.7,13.2,0.3,2.9,0.1,5.2,3.6,65.7,85.4,22.7,7.4,42.4,33.3,17.3
Congressional District 10 (115th Congress),FL,35,55.8,28.1,0.2,5.2,0.1,7.2,3.4,70.8,86.9,29.6,9.3,34.9,21.2,16.6
Congressional District 11 (115th Congress),FL,55.5,87.8,7.3,0.3,1.3,0,1.2,2.1,58.2,88.5,20.6,7.4,52.2,28.5,14.1
Congressional District 12 (115th Congress),FL,46.5,88.6,4.8,0.3,2.6,0.1,1.2,2.3,66.4,90.2,26.9,9.1,51,41.1,12
Congressional District 13 (115th Congress),FL,46.9,79.2,12.4,0.3,3.4,0.1,1.4,3.1,69,90,28.7,10.2,54.7,38.8,15.2
Congressional District 14 (115th Congress),FL,37.1,69.7,18.5,0.3,4.4,0.1,3.7,3.3,70,88.3,35,13.1,51.7,32.6,17.6
Congressional District 15 (115th Congress),FL,37.7,75,14.5,0.3,3,0.1,4.1,3,67.7,87.5,24.8,8.1,54.7,39.1,14.7
Congressional District 16 (115th Congress),FL,47.3,84.2,8.4,0.3,2,0.1,3,2,68.6,89.8,31.7,12.5,35.2,24.1,12.1
Congressional District 17 (115th Congress),FL,51.5,86.8,7.7,0.3,1.3,0,2.1,1.8,60.1,86.2,21.1,7.7,40.3,30.7,15.3
Congressional District 18 (115th Congress),FL,47.7,80.5,12.8,0.3,2.2,0.1,2.1,2,69.2,89.4,30.2,11,48.7,42,12.3
Congressional District 19 (115th Congress),FL,51.3,86.1,7.9,0.2,1.5,0,2.6,1.6,66.9,88.5,31.9,12.3,44,26.9,13.6
Congressional District 20 (115th Congress),FL,36.6,38.3,53.9,0.2,2.7,0,2.3,2.7,66.7,81.9,21,7.2,55.3,29.4,20.4
Congressional District 21 (115th Congress),FL,46.1,77,15.6,0.2,2.6,0,2.5,2,71.1,87.7,34,12.7,46.3,32,13.2
Congressional District 22 (115th Congress),FL,45.1,75.9,15,0.2,3.3,0,2.6,2.9,73.1,91.2,38,14,36.2,23.4,11.8
Congressional District 23 (115th Congress),FL,41,74.7,14,0.3,4.1,0.1,3.7,3.1,71.1,92,38.8,14.8,52.6,25.7,11
Congressional District 24 (115th Congress),FL,37,42.9,49.9,0.2,1.3,0,3.9,1.7,63.5,78.1,19.3,6.5,56.5,22.7,24.1
Congressional District 25 (115th Congress),FL,42.7,89.9,4.7,0.2,1.1,0,2.9,1.1,68.4,78.1,23.1,7.6,48.7,19.5,18.9
Congressional District 26 (115th Congress),FL,38.7,82,12,0.1,1.8,0,2.4,1.7,66.8,82,25.8,7.8,50.2,21.9,17.1
Congressional District 27 (115th Congress),FL,42.1,87,5.3,0.2,2,0,3.7,1.9,72.1,84.7,38,16.2,42.1,24.1,15.4
Georgia,,36.8,59.4,31.3,0.3,3.8,0.1,2.8,2.3,66.3,86.3,29.9,11.4,57.1,21.4,16.9
Congressional District 1 (115th Congress),GA,35.6,63.1,29.7,0.4,1.8,0.1,2.1,2.9,64.2,87.6,25.4,9.7,38.3,14.3,17.9
Congressional District 2 (115th Congress),GA,36,42.5,52,0.2,1.2,0.1,1.9,2.1,56.5,81.7,17.7,6.9,27.7,16.4,26.8
Congressional District 3 (115th Congress),GA,38.6,69.8,23.9,0.2,1.9,0,1.5,2.6,65.7,86.8,26,9.4,59.3,15.3,14.9
Congressional District 4 (115th Congress),GA,36.4,29.2,59.5,0.3,5.1,0.1,3.4,2.5,68.1,87.2,30.2,11.4,59.9,14.9,17.8
Congressional District 5 (115th Congress),GA,33,32.5,58.4,0.3,4.3,0,2.1,2.4,66.4,88.1,40.6,17.5,47.9,23.3,22.2
Congressional District 6 (115th Congress),GA,37.8,69.4,13.6,0.8,11.1,0,2.2,2.8,75.1,93.3,59.7,23,58.4,22.7,8.9
Congressional District 7 (115th Congress),GA,36.1,57.1,19.6,0.3,13.1,0,7,2.8,71.8,88.7,40.2,13.5,50.3,23.9,10.5
Congressional District 8 (115th Congress),GA,37.5,63.7,30.5,0.3,1.5,0,2,2,60.6,83.8,20.6,8.7,54.9,19.1,21.3
Congressional District 9 (115th Congress),GA,41.4,87.2,6.9,0.3,1.2,0,2.8,1.6,65.8,81.7,22,8.4,42.1,23.2,16.3
Congressional District 10 (115th Congress),GA,36.4,68.9,25.3,0.1,2.1,0.1,1.4,2.1,63.5,85.7,25.1,10.3,42.6,14.6,17.8
Congressional District 11 (115th Congress),GA,36.9,73.8,16.4,0.3,3.5,0,3.5,2.4,72.8,90.2,40.3,13.9,52,28.3,10.8
Congressional District 12 (115th Congress),GA,35.9,58.7,35.1,0.3,1.7,0.1,2.1,2.1,59,83.5,20.8,8.2,50.5,30.3,22.1
Congressional District 13 (115th Congress),GA,36.1,32.1,59,0.1,2.6,0,3.9,2.3,68.4,88.3,28.2,10.5,53.5,26.1,16.1
Congressional District 14 (115th Congress),GA,37.8,85.4,8.9,0.3,1.1,0,2.5,1.8,66.7,79.9,17.4,6.4,57,21.7,15.8
Hawaii,,39.2,25.1,1.8,0.2,38,10,1,23.8,71.9,91.6,32,10.8,58.4,22.3,10.3
Congressional District 1 (115th Congress),HI,39.7,18,2.1,0.1,50.2,7.9,0.9,20.8,74.2,90.8,35.1,12,55.5,21,8.7
Congressional District 2 (115th Congress),HI,38.6,32.3,1.6,0.3,25.9,12.2,1.1,26.8,69.6,92.5,28.8,9.6,49.4,22.9,12
Idaho,,36.3,91,0.7,1.3,1.4,0.1,2.9,2.6,69.4,90.2,26.8,8.5,31.7,27.3,14.5
Congressional District 1 (115th Congress),ID,38.2,91.5,0.5,1.3,1.2,0.1,2.6,2.7,67.8,90.6,25.1,7.8,36.6,26.1,14
Congressional District 2 (115th Congress),ID,34.2,90.4,0.8,1.2,1.5,0.1,3.2,2.6,71.1,89.8,28.6,9.4,50.9,26.1,15
Illinois,,38,71.9,14.3,0.2,5.2,0,6,2.4,70.1,88.6,33.4,13,43.2,14.9,13.5
Congressional District 1 (115th Congress),IL,38.7,40.8,51.1,0.2,1.9,0,3.8,2.1,62.9,88.8,27.7,11.2,40.9,19.3,18.9
Congressional District 2 (115th Congress),IL,37.9,37.1,56.8,0.2,0.7,0,3.4,1.7,61.1,87.6,22.5,8.4,58,21.5,20.3
Congressional District 3 (115th Congress),IL,37.7,75.3,4.8,0.3,4.3,0,13.2,2.1,69.2,85.4,27.3,10,28.9,19.8,11.1
Congressional District 4 (115th Congress),IL,33.7,58.7,4.2,0.5,3.6,0,30.4,2.6,69,70.9,23,7.5,58.6,18.2,19.6
Congressional District 5 (115th Congress),IL,35.6,81.4,2.9,0.3,7.1,0,5.2,3.2,78.7,91.5,53.4,20.9,42.7,25.1,9.3
Congressional District 6 (115th Congress),IL,40.4,83.5,2.6,0.2,9.1,0,2.3,2.2,75.5,94.6,51.5,20.4,61.1,25.6,5.3
Congressional District 7 (115th Congress),IL,34.6,35.6,48.4,0.1,7,0,6.5,2.2,63.7,85.6,40.8,19,55.1,21.4,23.5
Congressional District 8 (115th Congress),IL,37.3,66.6,4.7,0.4,13.3,0.1,12.2,2.8,75.5,85.8,33.2,11,46.2,25.2,9.8
Congressional District 9 (115th Congress),IL,40.2,72.4,8.8,0.2,12.8,0,2.7,3.1,71.8,91.5,52.7,22.4,61.9,19,12
Congressional District 10 (115th Congress),IL,38.2,74.1,6.8,0.2,10.4,0.1,5.8,2.6,73,89.1,44.2,18.7,58.6,18.4,9.2
Congressional District 11 (115th Congress),IL,36.9,65.2,11.2,0.2,7.6,0,12.4,3.3,73.8,86.2,35.1,13.1,49.7,23.3,9.9
Congressional District 12 (115th Congress),IL,39.5,78.5,16.9,0.2,1.2,0,0.8,2.4,64.7,89.4,22.4,9,55.9,23.5,17.8
Congressional District 13 (115th Congress),IL,36.6,80.9,11.5,0.2,3.8,0,0.6,3,66.9,92,30.4,12.4,47.7,27.3,18.5
