State and District,CDID,Median Age,White,Black,AI/AN,Asian,PI,Other,Two Plus,Emp-LF Ratio,High School,Bachelor,Advanced,% households w/ married couples,% households w/ seniors,% poverty
Congressional District 14 (115th Congress),IL,39.2,87.6,3.1,0.1,4.4,0,2.7,2.1,75.7,93.5,40,14.7,51.4,26,6.1
Congressional District 15 (115th Congress),IL,40.6,93,4.2,0.2,0.7,0,0.5,1.5,68.3,89,19.2,6.4,54.5,26.9,14.4
Congressional District 16 (115th Congress),IL,40.3,90.3,3.9,0.2,1.4,0,2.2,2,70.5,90.5,21.9,8,51,22.5,12.2
Congressional District 17 (115th Congress),IL,40.7,81.9,11.6,0.2,1.4,0,2.1,2.8,67.8,87.3,18.9,6.3,49.1,24.3,17.2
Congressional District 18 (115th Congress),IL,40.5,91,3.8,0.2,2.7,0,0.6,1.8,72.6,93.4,32.2,11.3,50.7,24.1,9.8
Indiana,,37.7,83.9,9.3,0.2,2.1,0,2.2,2.3,69.8,88.3,25.3,9.2,54,20.9,14.6
Congressional District 1 (115th Congress),IN,39.2,70,19,0.3,1.3,0.1,6.6,2.8,66.1,89,22.5,7.7,56.3,21,15.6
Congressional District 2 (115th Congress),IN,37.9,86.6,6.9,0.4,1.2,0.1,2.3,2.6,69.8,85.3,21.4,7.9,58,21,15
Congressional District 3 (115th Congress),IN,37.2,88,6,0.2,2.1,0,1.3,2.5,72.4,87.5,22.4,7.7,53,25.7,13.2
Congressional District 4 (115th Congress),IN,36.8,89.4,3.8,0.2,2.9,0,1.8,1.9,70.2,89.9,25.5,9.4,33.2,18.8,12.9
Congressional District 5 (115th Congress),IN,38.5,84.6,8.1,0.1,3.5,0,1.2,2.6,74.8,93.3,44.9,16.7,51.9,25,9.5
Congressional District 6 (115th Congress),IN,40.3,93.1,2.7,0.2,1.4,0,1,1.6,69.3,88.5,20.8,7.8,51.9,22.5,14.2
Congressional District 7 (115th Congress),IN,33.5,60.1,29.7,0.3,2.9,0,4,3,67.4,83,22.8,7.6,52.6,24.4,22.4
Congressional District 8 (115th Congress),IN,39.1,91.9,4.1,0.2,1,0.1,0.8,2,69,88.4,20.6,7.4,52.2,24.9,14.6
Congressional District 9 (115th Congress),IN,38,91.6,2.8,0.3,2.3,0,0.9,2,69.2,89.4,25.9,10,49.6,22.2,13.7
Iowa,,38.3,90.6,3.4,0.3,2.3,0.1,1.3,2,76.6,91.8,27.7,9,52.3,21.9,12
Congressional District 1 (115th Congress),IA,39.1,91.2,3.7,0.4,1.6,0.1,1.1,1.9,77.9,92.3,26,8.3,54.4,25.5,11.1
Congressional District 2 (115th Congress),IA,38.2,89.8,4.2,0.2,2.3,0.1,1.2,2.1,73.8,91.9,28.1,10.4,54.6,27.7,13.5
Congressional District 3 (115th Congress),IA,37.1,88.8,4.1,0.3,3.1,0.1,1.3,2.3,78.1,91.9,32.2,9.7,52.2,22.5,10.7
Congressional District 4 (115th Congress),IA,39.2,92.6,1.6,0.5,2.1,0.1,1.5,1.6,76.6,91.2,24.1,7.4,54,26.5,12.7
Kansas,,36.7,84.9,5.8,0.8,2.8,0.1,2.2,3.4,73.4,90.5,32.3,11.7,52.1,23.4,12.8
Congressional District 1 (115th Congress),KS,35.4,88.4,3,0.6,1.6,0.1,3.4,2.9,73.2,88.1,24.3,8.2,51.7,18.5,14
Congressional District 2 (115th Congress),KS,37.9,87.3,4.6,1.4,1.6,0.1,1.2,3.9,71.1,91.8,28.4,11.1,51.2,22.2,14.5
Congressional District 3 (115th Congress),KS,36.7,81,8.6,0.3,4.5,0.1,2.4,3.2,76.6,92.2,46.5,17.3,51,23.3,9
Congressional District 4 (115th Congress),KS,36.7,83.2,6.9,1,3.3,0,2.1,3.5,72.3,89.7,28.9,9.8,53.6,26.7,14
Kentucky,,38.9,87.3,8,0.2,1.3,0.1,0.9,2.2,64.8,85.2,23.2,9.6,54.4,22.3,18.3
Congressional District 1 (115th Congress),KY,40.3,89.3,7,0.2,0.6,0.1,0.8,2,61.9,83.4,16.2,6.9,42.9,22.9,19.3
Congressional District 2 (115th Congress),KY,38.4,89.5,5.5,0.3,1.3,0.1,1,2.4,67.1,86.3,19.9,8.2,54.3,21.8,16.2
Congressional District 3 (115th Congress),KY,37.9,71.9,21.7,0.1,2.6,0.1,0.8,2.8,71.7,89.5,31.4,13.1,52.6,25.8,15.3
Congressional District 4 (115th Congress),KY,39,92.2,3.4,0.1,1.2,0,1.1,2.1,69.6,88.9,27.2,10.3,48.5,20.6,13
Congressional District 5 (115th Congress),KY,40.9,96.6,1.4,0.2,0.4,0,0.3,1.1,48.6,75.5,12.9,6,46.7,23.1,28.3
Congressional District 6 (115th Congress),KY,37.1,84.9,8.6,0.3,1.9,0,1.7,2.5,68.6,87.2,30.8,12.6,49.9,24.7,18.2
Louisiana,,36.8,62.4,32.2,0.6,1.7,0,1.2,1.9,63.9,84.3,23.4,8.1,35,22.4,19.6
Congressional District 1 (115th Congress),LA,38.3,79,13.7,1.2,2.2,0,1.7,2.1,68.7,87.1,29.7,10.6,52.1,22.2,14.2
Congressional District 2 (115th Congress),LA,36.6,31.5,62,0.2,2.7,0,1.9,1.7,62.2,81.9,22.8,8.5,45.6,24.3,25
Congressional District 3 (115th Congress),LA,36.1,70.6,24.5,0.3,1.5,0,0.9,2.2,66.4,83,20.9,6.4,46.8,25.2,17.8
Congressional District 4 (115th Congress),LA,37.1,60.9,34,0.8,0.9,0.1,1,2.2,59.7,84.7,19.9,6.9,46,20.1,22
Congressional District 5 (115th Congress),LA,37.5,61.6,35.5,0.4,0.7,0,0.5,1.2,55.9,80.8,17.6,5.8,47.9,22.7,25
Congressional District 6 (115th Congress),LA,35.6,70.6,23.7,0.5,2.2,0,1.2,1.8,69.9,88.1,28.9,9.9,50.8,25.5,14.1
Maine,,44.6,94.6,1.3,0.6,1.1,0,0.2,2.1,71.9,92.1,30.3,10.9,51.3,25.1,12.9
Congressional District 1 (115th Congress),ME,44,94.3,1.7,0.4,1.5,0,0.2,1.9,75.4,93.6,36.9,13.6,50.3,26,10.6
Congressional District 2 (115th Congress),ME,45.1,95,0.8,0.9,0.7,0,0.2,2.3,68.3,90.6,23.4,8.2,48.7,22.5,15.2
Maryland,,38.7,56.6,29.7,0.3,6.2,0,3.9,3.2,73,89.8,39,18,57.4,26.7,9.7
Congressional District 1 (115th Congress),MD,42.6,82.5,12.1,0.2,2.1,0,0.9,2.2,72.5,90.3,31,12.6,42.2,22.3,9.6
Congressional District 2 (115th Congress),MD,36.3,54.7,34.1,0.3,5.5,0,1.8,3.6,71.7,88.8,31.5,12.6,46.2,22.1,11.4
Congressional District 3 (115th Congress),MD,37.3,63.8,22,0.2,7.2,0.1,3,3.5,75.7,91.5,47.3,22.4,43.7,18.3,8.1
Congressional District 4 (115th Congress),MD,38.1,31.4,52.5,0.3,3,0,10.2,2.5,75.6,86.6,32.8,13.8,53.2,19.1,8.7
Congressional District 5 (115th Congress),MD,38.2,50,38.4,0.4,4.2,0.1,3.2,3.8,72.9,91.2,34.5,14.8,58.1,23.5,7.3
Congressional District 6 (115th Congress),MD,38.9,67.6,13.5,0.3,11.1,0.1,3.6,3.8,72.5,90.2,41.9,20.2,35.9,23.7,9.4
Congressional District 7 (115th Congress),MD,38.9,35.6,53.7,0.3,7.1,0,0.9,2.4,65.7,88.2,37.7,17.7,51.5,23.8,16.6
Congressional District 8 (115th Congress),MD,40.4,67.1,12.2,0.3,9.3,0,7.7,3.4,76.9,91.4,54.4,29.2,48,24.5,6.8
Massachusetts,,39.5,78.9,7.4,0.2,6.3,0,4.1,3.1,73.2,90.3,42.1,18.7,48.7,25.3,11.1
Congressional District 1 (115th Congress),MA,40.8,84.5,6.3,0.3,2,0,4.3,2.6,69.2,87.7,29.2,12.1,48.1,24.1,14.7
Congressional District 2 (115th Congress),MA,39.6,83.9,5.2,0.2,5.5,0,2.3,2.9,70.7,91,37.9,16.2,51.2,23.1,12.2
Congressional District 3 (115th Congress),MA,39.1,78.1,3.7,0.3,7.8,0,7.3,2.9,72.8,88.3,37.5,16.4,51.8,25.1,11.7
Congressional District 4 (115th Congress),MA,41.1,86.8,3,0.1,5.9,0,1.7,2.5,74.7,93,50.3,24.4,53.5,22.2,6.8
Congressional District 5 (115th Congress),MA,38.1,77.8,5.1,0.2,11.3,0,2.7,2.9,75.9,93.1,56,28.8,53.2,26.5,8.1
Congressional District 6 (115th Congress),MA,42.9,85.3,3.5,0.1,4.2,0,4.4,2.4,75.7,92.6,43.6,17.6,48.5,25.8,7.7
Congressional District 7 (115th Congress),MA,31.7,50.4,25.7,0.3,10,0,6.9,6.5,70.7,84.3,43.1,20,26.5,18,20
Congressional District 8 (115th Congress),MA,39.8,76.6,10,0.2,7.9,0,3,2.3,76.2,92,45.9,18.7,47.2,24.8,9.1
Congressional District 9 (115th Congress),MA,46.1,88.5,2.9,0.3,1.4,0,4.3,2.6,72.9,90,34.3,13.5,52,29.8,9.9
Michigan,,39.8,78.7,13.8,0.5,2.9,0,1.2,2.8,67.3,90.2,28.1,11,50,23.5,15.6
Congressional District 1 (115th Congress),MI,46.6,92.3,1.6,2.4,0.7,0,0.3,2.8,64.9,92,24.6,9,53.7,30.2,14.4
Congressional District 2 (115th Congress),MI,37.6,85,6.3,0.5,2.3,0,2.6,3.3,71.2,89.8,25.4,8.1,57.4,24,13.8
Congressional District 3 (115th Congress),MI,37.1,84.1,8.7,0.4,1.9,0,1.8,3.1,70.9,90.7,30.7,10.7,52.3,20,13.8
Congressional District 4 (115th Congress),MI,41.6,94,1.8,0.7,1,0,0.3,2.1,63.9,90.6,21.4,7.9,53.2,25.6,16.3
Congressional District 5 (115th Congress),MI,41.8,77.4,17.3,0.4,0.9,0,0.8,3.1,62,89.1,19.3,7,46.3,23.8,19.9
Congressional District 6 (115th Congress),MI,38.7,84.7,8.3,0.4,1.6,0,1.4,3.6,70,90.6,27.3,10.6,50.5,23.2,15.4
Congressional District 7 (115th Congress),MI,42.3,91.2,4.3,0.4,1,0,0.8,2.3,67.8,91.5,23.8,8.7,53.9,23.8,12.2
Congressional District 8 (115th Congress),MI,38.4,85.5,5.4,0.3,4.3,0,1,3.4,70.5,94.4,40.2,16.7,55,18.9,11.7
Congressional District 9 (115th Congress),MI,40.3,79.3,13,0.4,4.3,0,0.6,2.5,70.6,89.6,29.7,11.4,52.9,23.3,13.5
Congressional District 10 (115th Congress),MI,43,92.7,2.8,0.2,1.7,0,0.5,2.1,70.5,90.7,23.1,8.4,59.3,23.1,10
Congressional District 11 (115th Congress),MI,42,81.8,5.2,0.3,9.8,0,0.7,2.2,74.6,94.7,46.6,19.6,55.5,21.7,6.2
Congressional District 12 (115th Congress),MI,35.9,79,10.7,0.3,5.3,0,1.3,3.5,67.1,89.9,34,16.3,42.8,26.3,16.8
Congressional District 13 (115th Congress),MI,36.4,37.8,55.1,0.5,1.3,0,3,2.3,56,81.8,15,5.4,29.2,22.9,31.5
Congressional District 14 (115th Congress),MI,37.4,34.3,56.7,0.2,4.5,0,1.3,3,60.2,86.8,30.3,13.7,34.1,25.9,23.7
Minnesota,,37.9,83.7,6,1,4.7,0,1.7,2.8,78,92.8,34.8,11.8,48.5,19.5,10.5
Congressional District 1 (115th Congress),MN,38.3,90.7,3,0.3,2.7,0,1.5,1.8,78.9,91.7,27.8,9.7,52.1,21.2,11.4
Congressional District 2 (115th Congress),MN,37.5,84.9,4.5,0.4,4.6,0.1,2.5,3,81,94.6,38.2,11.8,54.4,25.5,6.8
Congressional District 3 (115th Congress),MN,40.4,81,7.3,0.3,7.2,0.1,1.3,2.8,79.6,95.5,48.2,16.8,60.2,15.9,5.9
Congressional District 4 (115th Congress),MN,36,71.4,9.9,0.6,12.2,0,1.8,4,75.9,91.6,42.9,16.8,55.2,20.5,12.7
Congressional District 5 (115th Congress),MN,33.8,67.3,16.7,1,6.2,0,4.3,4.5,77,90.4,44.7,16.5,43.1,21.7,16.4
Congressional District 6 (115th Congress),MN,37,91.2,3,0.5,2.3,0,0.9,2.2,80.4,94.5,29.6,8.5,34,17.4,7.2
Congressional District 7 (115th Congress),MN,40.8,91.8,1.3,2.9,0.9,0,1.2,1.9,78.2,91.1,21.8,6,61.4,15.8,11.4
Congressional District 8 (115th Congress),MN,42.8,93,1.1,2.6,0.8,0,0.3,2.2,72.7,92.7,23,7.4,54.9,27.3,12.3
Mississippi,,37.5,58.8,37.6,0.4,1,0,0.9,1.3,61.1,83.4,21.3,8,53.2,26.2,21.5
Congressional District 1 (115th Congress),MS,38.1,69.1,27.3,0.1,0.8,0,1.2,1.4,64.2,82.8,19.9,7.1,46.5,24.2,18.1
Congressional District 2 (115th Congress),MS,36.7,31.5,65.9,0.3,0.5,0,1,0.8,55.1,80,18.7,7.2,50.6,24.4,29
Congressional District 3 (115th Congress),MS,37.5,61.2,35.2,1,1,0,0.7,0.9,62.8,85.2,25.6,10,36.5,23.8,19.9
Congressional District 4 (115th Congress),MS,37.4,71.8,23.5,0.3,1.5,0,0.9,1.9,61.9,85.3,20.9,7.8,47.8,24.5,19.4
Missouri,,38.5,82.4,11.6,0.4,1.9,0.1,1.2,2.5,70.1,89.2,28.2,10.7,50,23.9,14.6
Congressional District 1 (115th Congress),MO,36,43.3,49.6,0.2,3,0,1,3,68.1,88.2,31.1,13.5,50,23.8,19.8
Congressional District 2 (115th Congress),MO,42.8,89.3,3.8,0.1,4.4,0,0.6,1.8,77,94.9,48.8,19.9,34,23.7,5.4
Congressional District 3 (115th Congress),MO,38.9,92.8,3.3,0.3,1,0,0.6,1.9,72.8,90.1,25.3,8.4,60.7,22.2,10.4
Congressional District 4 (115th Congress),MO,36.9,89.2,4.6,0.5,1.5,0.1,0.9,3.1,67.2,88.6,24.7,9.6,45,21.4,16.6
Congressional District 5 (115th Congress),MO,36.9,68.4,21.9,0.4,1.8,0.3,4,3.2,71.6,89.1,27.2,9.9,56.1,26.1,16.7
Congressional District 6 (115th Congress),MO,38.6,90.6,4.2,0.4,1.3,0.1,0.8,2.6,72.2,91.1,27.4,9.5,41.1,22.8,12.1
Congressional District 7 (115th Congress),MO,37.9,92,1.9,0.9,1.2,0.2,1.1,2.7,69.1,88.7,24,8.3,54.3,22.6,16.5
Congressional District 8 (115th Congress),MO,40.9,92.1,4.6,0.5,0.6,0,0.4,1.8,62.1,82.6,15.7,5.9,52.2,24.5,20
Montana,,40,89,0.4,6.5,0.7,0.1,0.5,2.8,71.7,93,30.7,10.1,51.8,28,14.4
Congressional District 0 (115th Hidden easter eggCongress),MT,40,89,0.4,6.5,0.7,0.1,0.5,2.8,71.7,93,30.7,10.1,53.4,23,14.4
Nebraska,,36.5,87.8,4.7,0.8,2.2,0.1,1.9,2.4,77.8,90.9,30.6,10.2,51.6,24.7,12
Congressional District 1 (115th Congress),NE,35.6,88.9,3,1.2,2.6,0.1,1.6,2.6,78.1,92.1,30.8,10.4,51.6,24.7,12
Congressional District 2 (115th Congress),NE,34.9,81.8,9.7,0.5,3.2,0.1,1.9,2.9,77.4,90.8,38.9,13.6,51.8,22.9,11.9
Congressional District 3 (115th Congress),NE,39.9,93.2,1.2,0.9,0.8,0.1,2.1,1.6,78,89.8,21.7,6.6,53.6,22.4,12
Nevada,,38,67.1,8.8,1.1,8.1,0.7,9.7,4.7,68.3,85.8,23.7,8.1,46.6,18.6,14.2
Congressional District 1 (115th Congress),NV,36.5,54,11.4,0.8,8.4,0.7,20.2,4.4,65.9,76.9,15.2,4.6,55.3,27.9,21.2
Congressional District 2 (115th Congress),NV,39.7,81.9,1.9,2.2,4,0.5,5.7,3.8,70,87.6,26.1,9.6,47.7,21.8,13
Congressional District 3 (115th Congress),NV,39.3,68.1,7,0.5,13.9,0.8,4.4,5.4,72.2,92.6,31.8,10.9,44,19.5,9.2
Congressional District 4 (115th Congress),NV,36.7,64,14.7,1,5.6,0.6,9.1,4.9,64.9,85.1,20.4,6.7,50.7,24.3,14.2
New Hampshire,,43.2,93.4,1.4,0.2,2.5,0,0.5,2,75.8,92.8,36,13.8,48.1,21.4,8.1
Congressional District 1 (115th Congress),NH,42,93.6,1.5,0.1,2.4,0,0.5,1.9,76.8,93.1,37,13.6,54.5,22.7,8
Congressional District 2 (115th Congress),NH,44.3,93.2,1.3,0.2,2.6,0,0.6,2,74.8,92.6,35.1,14,53.6,21.8,8.2
New Jersey,,39.8,67.9,13.5,0.2,9.4,0,6.4,2.6,70.7,89.2,38.1,14.7,55.4,23.6,10.7
Congressional District 1 (115th Congress),NJ,39.4,67.9,17.2,0.2,5.1,0,6.6,2.9,71,89.7,30.5,10.7,51.9,25.4,11.8
Congressional District 2 (115th Congress),NJ,42.2,75.4,12.4,0.3,4,0,4.5,3.3,67.2,86.5,25.5,8.6,47.4,23.2,13.5
Congressional District 3 (115th Congress),NJ,43.5,80.4,10.8,0.1,3.7,0.1,2,3,71.9,92.9,33.2,11.5,49.2,26.5,6.7
Congressional District 4 (115th Congress),NJ,40.7,85,6.5,0.1,4.2,0,2.4,1.8,71.8,92,39.4,15,57.3,31,9.5
Congressional District 5 (115th Congress),NJ,42.6,78.8,5.2,0.2,10.6,0,3.3,1.9,73.2,93.4,46.6,17.6,55.6,29.9,5.6
Congressional District 6 (115th Congress),NJ,37.7,63.5,10.4,0.2,19,0,4.5,2.4,68.6,88.5,39.1,15.8,64.2,26.1,10.2
Congressional District 7 (115th Congress),NJ,43.1,79.7,4.8,0.1,9.9,0,3.8,1.8,74.4,94.1,52.2,22.7,48.7,22.8,4.9
Congressional District 8 (115th Congress),NJ,35,57,10.2,0.4,8.9,0.1,20,3.5,71.6,78.9,31.6,11.7,62.5,25.2,17.6
Congressional District 9 (115th Congress),NJ,37.8,59.1,10.4,0.3,13.4,0,13.4,3.3,68.7,85.1,33.1,11.6,49.2,25.4,15.3
Congressional District 10 (115th Congress),NJ,35.9,29,52.3,0.3,7.2,0,8.8,2.4,64.8,85.8,28.4,10,48.7,26.1,19
Congressional District 11 (115th Congress),NJ,43.3,82.4,3.7,0.1,10,0,1.6,2.2,75.1,94.5,52.8,21.6,32.8,22.6,4.3
Congressional District 12 (115th Congress),NJ,39.5,58.6,17.5,0.3,16.6,0,5,2,70.8,89.3,44,19.8,62.5,24.7,9.2
New Mexico,,37.7,74.2,2,9.5,1.4,0.1,9.5,3.3,63.3,85,26.9,11.8,58.9,25.7,20.6
Congressional District 1 (115th Congress),NM,38.6,74.5,2.8,4.4,2.3,0.1,12,4.1,67,88,32.6,14.7,36.7,19.9,18.5
Congressional District 2 (115th Congress),NM,35.6,83.7,1.8,5.3,0.8,0,6,2.4,60.9,80.5,20.6,8.1,47.1,23.9,22.9
Congressional District 3 (115th Congress),NM,38.4,64.6,1.5,18.6,1.2,0.1,10.5,3.4,62,86.2,27.1,12.3,43.6,21.6,20.3
New York,,38.7,63.8,15.7,0.4,8.3,0,8.7,3,68.5,86.1,35.3,15.4,49.9,27,15.1
Congressional District 1 (115th Congress),NY,42.7,86.8,5.2,0.3,4.1,0,1.7,1.9,70.8,91.8,35.3,16.5,48.2,23.5,7.1
Congressional District 2 (115th Congress),NY,39.2,75.3,10.3,0.2,3.1,0,7.9,3.2,73.3,88.3,29.9,12.2,45.3,25.3,6.8
Congressional District 3 (115th Congress),NY,45.4,75,3.3,0.2,15.4,0,4.1,2,71.2,92.8,52,24.5,60,26.7,5.6
Congressional District 4 (115th Congress),NY,40.6,65.5,14.5,0.3,6.6,0,8.7,4.3,72.1,89.4,41.4,18.6,62.8,27,6.8
Congressional District 5 (115th Congress),NY,37.5,18.3,49.1,0.4,13.9,0.1,14.1,4,67.2,81.4,24.8,8.5,63.3,30.2,12.4
Congressional District 6 (115th Congress),NY,40.9,44.9,3.9,0.3,39.9,0,7.9,3,69.4,83.5,35.7,14.2,58.6,30.5,13.5
Congressional District 7 (115th Congress),NY,33.5,48.7,11.1,0.5,18.8,0,17.2,3.6,66.9,71.6,32.3,12.2,53.5,30.3,24.9
Congressional District 8 (115th Congress),NY,36.1,29.7,54.1,0.3,5.5,0,7.6,2.6,64.3,83.1,31.1,11.8,43.5,26.9,22.5
Congressional District 9 (115th Congress),NY,36.8,35.2,49.2,0.2,7.2,0,5.7,2.6,67.1,85.2,36.8,15.6,38.2,25.8,18.6
Congressional District 10 (115th Congress),NY,37,69.2,4.1,0.3,18.7,0,5,2.6,72,87.9,60.4,29.9,34.2,22.6,16.7
Congressional District 11 (115th Congress),NY,40,71.2,7.7,0.3,13.7,0.1,4.6,2.4,65.7,86.1,34.2,13.7,49.7,30.2,14
Congressional District 12 (115th Congress),NY,35.7,73.1,5,0.2,13.9,0.1,4.5,3.2,77.4,93.7,72,32.8,30.9,22.4,11
Congressional District 13 (115th Congress),NY,34.9,26.6,29.7,0.7,4.6,0.1,32,6.3,64.1,73.7,30.5,12.3,31.4,20.7,28.3
Congressional District 14 (115th Congress),NY,38.8,45.4,11.1,0.5,17.2,0.1,22.6,3.2,68.6,76,25.9,9.1,34.7,21.4,16.2
Congressional District 15 (115th Congress),NY,31.4,14.8,33.3,0.7,1.9,0.1,46.1,3.3,55.6,64.6,13.2,3.6,54.2,27.2,38.2
Congressional District 16 (115th Congress),NY,40.5,47.1,32.9,0.4,5.2,0,11,3.3,68.3,85.2,39.3,18.9,30.7,20.6,12.9
Congressional District 17 (115th Congress),NY,38.8,69.5,10.7,0.4,6,0,10.7,2.7,72.1,87.7,45.7,22,22.8,24.1,10.6
Congressional District 18 (115th Congress),NY,39.5,77,9.7,0.3,3.1,0,6.6,3.2,69.7,90.8,35.6,15.6,22,18.1,9.8
Congressional District 19 (115th Congress),NY,44.9,89.3,4.4,0.2,1.7,0,1.9,2.5,67.1,89.7,28.4,12.8,41.1,25.5,12.5
Congressional District 20 (115th Congress),NY,39.3,80.1,9.2,0.2,5,0,2,3.5,71.5,92,37.4,17,54.5,27.5,12
Congressional District 21 (115th Congress),NY,40.6,91.9,3.2,0.9,1,0.1,1,2,64.8,89.1,23.2,10.4,60.6,23.4,14
Congressional District 22 (115th Congress),NY,41.1,89.7,4.2,0.2,2.7,0,0.9,2.2,66.4,89.3,24.3,10.3,53.3,25.7,15.5
Congressional District 23 (115th Congress),NY,40.5,90.9,2.9,0.6,2.5,0,0.9,2.2,65,89.7,25.9,12.4,43.4,25.3,16.3
Congressional District 24 (115th Congress),NY,40,84.5,8.3,0.4,2.8,0,1,3,68.6,89.9,30.4,13.2,45.8,25,14.7
Congressional District 25 (115th Congress),NY,38.9,75.2,15.7,0.4,3.8,0,1.8,3,70.9,90.2,36.9,16.4,51.9,24.4,15.1
Congressional District 26 (115th Congress),NY,38.2,71.6,18.3,0.4,4,0,2.7,2.9,68.5,89.6,30.7,13.6,48.8,26.9,19
Congressional District 27 (115th Congress),NY,44.2,93.4,2.5,0.7,1.1,0,0.8,1.5,72.1,92.5,29.5,12.7,48.4,25.1,9
North Carolina,,38.8,69,21.5,1.2,2.7,0.1,3.1,2.5,67.6,86.9,29.9,10.6,54.1,26.2,16.1
Congressional District 1 (115th Congress),NC,38,47.1,44.6,0.8,2,0,2.9,2.5,63.2,82.7,26.8,11,44.9,27.2,21.7
Congressional District 2 (115th Congress),NC,38.7,71.9,19.6,0.6,1.8,0.1,3.3,2.8,70,89.7,34.7,11.6,33.9,23.5,11.4
Congressional District 3 (115th Congress),NC,37,72.4,20.4,0.4,1.5,0.1,1.8,3.3,65.3,87.9,22.5,7.9,52.7,26.6,15.8
Congressional District 4 (115th Congress),NC,34.9,62.2,22.4,0.4,8.4,0,3.9,2.7,74,91.9,53.1,22.2,49.5,22.4,12.5
Congressional District 5 (115th Congress),NC,40.8,79.2,14.6,0.3,1.4,0.1,2.6,1.8,65.4,84.9,26.2,9.5,41.4,26.8,18.7
Congressional District 6 (115th Congress),NC,41.1,71.7,20.2,0.4,1.6,0.1,3.8,2.2,68,84.3,23.7,8.3,49.4,20.1,16.5
