State and District,CDID,Median Age,White,Black,AI/AN,Asian,PI,Other,Two Plus,Emp-LF Ratio,High School,Bachelor,Advanced,% households w/ married couples,% households w/ seniors,% poverty
Congressional District 7 (115th Congress),NC,41.7,73.6,19.4,0.8,0.8,0.1,3,2.3,65.1,85.5,24.9,8.1,53.6,22.5,19.3
Congressional District 8 (115th Congress),NC,36.2,67.1,22.8,1.1,2.2,0.1,3.1,3.6,65.9,88.4,25.6,8.5,51.6,15.8,15.4
Congressional District 9 (115th Congress),NC,39.1,65.6,19.2,7.9,2.5,0,2.3,2.4,65.5,87.3,33.1,11.2,54.5,25.3,15.6
Congressional District 10 (115th Congress),NC,41.9,81.1,12,0.3,1.6,0,2.9,2,67.1,85.3,23.7,8,54.9,25.1,15.8
Congressional District 11 (115th Congress),NC,45.5,90.1,3.3,1.6,1.2,0.1,2.1,1.7,65.4,85.6,24.6,9.1,47.5,24.7,16.3
Congressional District 12 (115th Congress),NC,34.1,48.1,37.1,0.3,5.5,0.1,5.8,3,73.6,88.2,39.4,12.9,46.4,19.9,15.4
Congressional District 13 (115th Congress),NC,39.5,69.7,22.2,0.4,3.4,0,2.3,2,68,87.3,28.1,9.3,54.6,17.8,16.3
North Dakota,,35.4,87.7,2.3,5.3,1.4,0,0.9,2.3,79,92.3,28.9,7.8,54.2,25.8,11
Congressional District 0 (115th Congress),ND,35.4,87.7,2.3,5.3,1.4,0,0.9,2.3,79,92.3,28.9,7.8,51.3,30.1,11
Ohio,,39.3,81.9,12.3,0.2,2,0,0.9,2.7,69.8,89.8,27.2,10.2,39.2,19.3,14.9
Congressional District 1 (115th Congress),OH,36.8,71.1,22,0.1,3.4,0.1,0.9,2.4,69.4,90.2,33.9,12.6,43.9,18.7,15.9
Congressional District 2 (115th Congress),OH,40.1,87.2,8.5,0.2,1.4,0,0.5,2.3,70.2,89.3,31.1,12.1,50.9,23.4,14.1
Congressional District 3 (115th Congress),OH,32.6,56.1,33.2,0.2,4,0.1,2,4.5,69.9,87.4,27.8,9.4,50.9,23.4,22.5
Congressional District 4 (115th Congress),OH,40.8,90.3,5.1,0.2,0.9,0,0.9,2.6,69.5,89.9,17.6,6.4,49,24.1,13.5
Congressional District 5 (115th Congress),OH,39.5,92.1,2.8,0.2,1.3,0,1.5,2.1,74.1,92.7,25.9,10.1,39.7,23.3,11.2
Congressional District 6 (115th Congress),OH,43.5,95.2,2.3,0.2,0.4,0,0.3,1.6,63.4,87.7,15.9,5.9,53,22.7,16.5
Congressional District 7 (115th Congress),OH,41.2,92.5,4,0.1,0.6,0,0.4,2.3,71.7,87.9,19.9,6.8,47.6,24.5,12.7
Congressional District 8 (115th Congress),OH,38.7,88.7,6,0.2,1.8,0.1,0.7,2.4,70.9,89.4,23.9,8.8,53.9,25.2,12.8
Congressional District 9 (115th Congress),OH,38,74.5,16.3,0.4,1.4,0,2.8,4.6,67.2,86.5,21.8,7.8,56.6,24.5,20.6
Congressional District 10 (115th Congress),OH,39,76.9,16.9,0.2,2.2,0,0.7,3.1,67.8,90.5,29.1,12.3,52.9,27.7,16.6
Congressional District 11 (115th Congress),OH,39,39.6,53.3,0.3,2.5,0,1.2,3.1,61.7,86.2,26.7,12,52.9,23.2,26.8
Congressional District 12 (115th Congress),OH,38.3,87.7,4.6,0.2,4,0,0.6,3,74.1,92.9,40.3,14.8,53.4,22.6,9.8
Congressional District 13 (115th Congress),OH,40.6,82.9,11.7,0.2,1.7,0,0.6,2.9,67.7,89.6,22.4,7.6,45.9,24.6,17.8
Congressional District 14 (115th Congress),OH,43.7,91,4.5,0.1,2.1,0,0.4,1.9,73.7,92,34.3,13.2,43,26.1,8.6
Congressional District 15 (115th Congress),OH,37.7,90.7,4,0.1,2.4,0,0.5,2.3,68.8,90.7,31,11.7,30.2,26.4,12.3
Congressional District 16 (115th Congress),OH,43.3,93.4,2.1,0.2,2.2,0,0.4,1.7,76.1,93.1,33,11.9,48.8,18.4,7.4
Oklahoma,,36.6,72.6,7.3,7.4,2.1,0.1,2.7,7.8,67.1,87.5,24.8,8.3,50.3,24.7,16.2
Congressional District 1 (115th Congress),OK,36.2,71.5,8.6,5.6,2.8,0.1,3.4,8.2,71.4,89.3,29.7,9.4,56.5,25.9,14.8
Congressional District 2 (115th Congress),OK,40.3,66.7,3.4,16.8,0.6,0.2,1.6,10.6,60.4,84.8,16.8,5.4,43.9,17.7,19.8
Congressional District 3 (115th Congress),OK,36.6,79.3,3.6,6,1.5,0.3,3.5,5.8,66.4,87.8,22.5,7.2,54.2,25.8,15.2
Congressional District 4 (115th Congress),OK,35.8,76.2,6.8,5,2.4,0.1,1.7,7.8,67.9,89.4,24.8,8.6,44.7,26.1,13.7
Congressional District 5 (115th Congress),OK,34.8,69.1,13.6,4.3,3.1,0.1,3.2,6.6,68.8,86.3,30.1,10.7,53.8,26.5,17.6
Oregon,,39.3,84.9,1.9,1.1,4.1,0.4,3,4.6,68.7,90.2,32.3,12.2,50.4,24.1,14.9
Congressional District 1 (115th Congress),OR,37.8,81,1.6,0.7,7.5,0.3,4,4.8,72.2,91.4,40.2,15.3,49.1,21.6,10.8
Congressional District 2 (115th Congress),OR,42.3,90.1,0.6,1.9,1,0.2,2.6,3.5,65.7,88.6,24.2,8.8,52.3,28.5,16.1
Congressional District 3 (115th Congress),OR,37.5,78.7,5.2,0.9,6.8,0.6,2.7,5.1,72.1,90.7,39.8,15.2,54.2,25.5,16.1
Congressional District 4 (115th Congress),OR,41.1,89.2,0.9,1.2,2.3,0.2,1.8,4.4,63.5,91,26.5,10.6,52.5,22.6,18.4
Congressional District 5 (115th Congress),OR,39.3,85.8,1.1,1,2.8,0.5,3.8,5,69.1,89.4,30,10.9,44.5,22.5,13.2
Pennsylvania,,40.8,81.1,11.1,0.2,3.3,0,2,2.3,69.6,89.9,30.1,11.8,50,23.4,13.1
Congressional District 1 (115th Congress),PA,34.1,46.8,36.1,0.3,7.2,0,6.6,2.9,62.1,82.8,26.5,10.6,50.2,18.9,24.3
Congressional District 2 (115th Congress),PA,34.7,32.2,57.7,0.3,5.1,0.1,2,2.6,58.1,86.7,34.9,17,53.2,27.6,27
Congressional District 3 (115th Congress),PA,43,91.7,4.6,0.1,1,0,0.5,2,68,90.6,25.4,9.1,44,19,13.9
Congressional District 4 (115th Congress),PA,40.5,85.2,7.8,0.1,2.5,0,1.8,2.5,73.3,89.3,26.3,9.6,49.5,27.3,10.5
Congressional District 5 (115th Congress),PA,41.5,93.6,2.6,0.2,1.8,0,0.3,1.5,64.6,90.7,24.3,9.4,52.9,24.4,15.1
Congressional District 6 (115th Congress),PA,40.7,86.4,4.5,0.1,4.7,0,2,2.2,75.6,93.2,43.2,17.1,49.7,27,7.1
Congressional District 7 (115th Congress),PA,41.9,86.8,5.6,0.1,4.9,0,0.7,1.9,73.6,92.7,43,18.3,26.1,22.5,5.7
Congressional District 8 (115th Congress),PA,43.7,88.3,3.9,0.2,4.9,0,1.1,1.7,75.8,93.6,39.2,15.7,25.2,24.1,6
Congressional District 9 (115th Congress),PA,43.8,94.4,2.8,0.1,0.6,0.1,0.3,1.7,66.6,88.6,18.6,6.7,52,26.9,14.6
Congressional District 10 (115th Congress),PA,44.3,92.9,3.6,0.2,0.9,0,0.8,1.6,67.5,88.6,21.6,8.1,56.4,29.1,12
Congressional District 11 (115th Congress),PA,42.9,88.7,5.6,0.2,1.7,0,1.9,1.9,70.3,89.8,24,8.9,52.1,27.8,12
Congressional District 12 (115th Congress),PA,45.6,92.7,3.2,0.1,1.9,0,0.3,1.8,72.2,93.3,32.6,12.9,55.2,24,9.3
Congressional District 13 (115th Congress),PA,38.3,63.9,18.8,0.3,9.2,0.1,4.9,2.8,71,88.1,34.5,13.6,52.6,26.9,13.9
Congressional District 14 (115th Congress),PA,38.4,71.4,21.3,0.1,3.2,0,0.5,3.4,69.4,92.6,33.4,13.9,59,25.7,18.2
Congressional District 15 (115th Congress),PA,40,84.2,5,0.2,2.7,0,5.2,2.7,72.1,89.1,28.6,11.3,56.2,28.5,11.3
Congressional District 16 (115th Congress),PA,37.5,82.4,6.7,0.5,1.9,0,4,4.4,72.7,84.2,26,9.4,53.7,29.5,13.7
Congressional District 17 (115th Congress),PA,43.1,87.8,6.1,0.2,1.9,0,1.7,2.3,67.7,89,21.9,7.7,49.1,29.3,13.7
Congressional District 18 (115th Congress),PA,44.4,93.6,2.3,0.1,2,0,0.2,1.8,73.6,94.1,36.2,13.4,49.1,31.7,8.1
Rhode Island,,39.5,80.9,6.5,0.5,3.4,0.1,5.7,3,71,87.3,33,13.1,50.1,27.4,13.4
Congressional District 1 (115th Congress),RI,38.5,76.9,8.9,0.6,3.6,0.1,6.6,3.4,69.9,85.4,32.8,13.4,32.7,27.4,15.3
Congressional District 2 (115th Congress),RI,40.5,85.1,4,0.5,3.2,0,4.8,2.5,72.1,89.3,33.2,12.9,53.9,27,11.4
South Carolina,,39.4,67.3,27.2,0.3,1.5,0.1,1.5,2.1,66.4,86.5,27,9.8,57,24.5,16.6
Congressional District 1 (115th Congress),SC,39.5,74.7,18.9,0.3,1.8,0,1.9,2.5,72.5,92.7,38.9,14.5,50.7,26.6,10.8
Congressional District 2 (115th Congress),SC,38.7,70.5,23.4,0.2,1.9,0.1,1.4,2.4,70.2,89.5,33.3,12.4,54.9,28.9,13.3
Congressional District 3 (115th Congress),SC,40.6,76.8,18.5,0.2,0.9,0,1.6,1.9,63.9,83.2,21,7.8,55.8,25.1,17.9
Congressional District 4 (115th Congress),SC,38.2,74.5,19,0.2,2.4,0.1,1.7,2.1,69.3,86.6,30.7,11.2,46.7,25.3,14.3
Congressional District 5 (115th Congress),SC,40.1,68.2,26.7,0.4,1.1,0,1.2,2.3,65.2,85.2,23.2,7.9,45.3,26,16.5
Congressional District 6 (115th Congress),SC,36,38.1,57,0.3,1.1,0.1,1.4,2,59.4,82.4,19.3,7.2,48.1,24.7,25.1
Congressional District 7 (115th Congress),SC,42.9,66.6,28.8,0.6,0.9,0.1,1.4,1.7,63.5,85.1,20.8,7.3,48.4,24.1,19.7
South Dakota,,36.9,84.7,1.7,8.7,1.4,0,0.8,2.7,76.9,91.4,27.8,8.3,48.2,23.3,13.9
Congressional District 0 (115th ur potatoCongress),SD,36.9,84.7,1.7,8.7,1.4,0,0.8,2.7,76.9,91.4,27.8,8.3,50.6,22.8,13.9
Tennessee,,38.6,77.8,16.8,0.3,1.7,0.1,1.3,2.1,66.9,86.5,26.1,9.6,52,26.2,16.7
Congressional District 1 (115th Congress),TN,43.7,93.8,2.3,0.3,0.7,0,1,1.9,63.5,84.1,19.5,7.4,49.9,23,18.4
Congressional District 2 (115th Congress),TN,39.7,89.1,6.2,0.3,1.6,0.1,0.8,2,68.3,88.7,30.2,11.7,48.8,24.2,15.4
Congressional District 3 (115th Congress),TN,41.8,85.2,10.7,0.2,1.3,0,0.7,1.8,64.4,85.3,22.9,8.5,39.8,25.2,16.6
Congressional District 4 (115th Congress),TN,37.5,85.1,8.7,0.2,1.7,0,1.2,3,68.4,86,22.6,7.5,51.8,24.2,15.1
Congressional District 5 (115th Congress),TN,34.9,66.8,24.8,0.3,3.2,0.1,2.4,2.4,73.3,87.6,36.7,13.5,51.8,24.2,16.6
Congressional District 6 (115th Congress),TN,40.7,91.6,4.3,0.3,0.9,0.1,1,1.8,67.7,86.1,21.3,7.1,49.7,23.4,14.1
Congressional District 7 (115th Congress),TN,37.6,84.6,10,0.3,1.9,0.1,0.7,2.3,64.5,87.9,28.6,10.1,52.6,27.2,13.9
Congressional District 8 (115th Congress),TN,40.6,75.1,20,0.2,2,0,0.8,1.8,66.1,88.2,28.9,11.1,51.2,24.1,14.1
Congressional District 9 (115th Congress),TN,33.7,27.1,65.9,0.2,1.7,0,3.4,1.7,64.5,84.7,23.6,9.1,51.5,25.6,26.2
Texas,,34.7,74.6,12,0.5,4.5,0.1,5.8,2.6,68.4,82.8,28.7,9.9,54.6,28.1,16
Congressional District 1 (115th Congress),TX,37.2,77,17.7,0.4,1.2,0.1,1.9,1.7,63.9,83.4,20.6,6.5,40.4,19.4,18
Congressional District 2 (115th Congress),TX,36.1,68.5,10.9,0.4,7.7,0.1,9.7,2.7,73.2,88.3,40.8,14.7,54.5,21,10.6
Congressional District 3 (115th Congress),TX,37.3,70,9.3,0.5,14.7,0.1,2.2,3.2,75.1,93.9,53.2,19.4,60.8,20.2,6.8
Congressional District 4 (115th Congress),TX,38.5,81.4,10.4,0.7,1.1,0.1,3.8,2.6,66.1,86.2,21.1,6.9,48.8,24.4,14.9
Congressional District 5 (115th Congress),TX,36.1,75.5,15,0.5,2.1,0.1,4.6,2.3,66.3,80.2,20.2,6.8,30.7,20.1,16.4
Congressional District 6 (115th Congress),TX,35.3,66.6,20.4,0.6,4.7,0.2,4.2,3.3,72.1,87.9,29.5,9.4,51.4,20.1,11.8
Congressional District 7 (115th Congress),TX,34.5,67.9,13.4,0.3,10.8,0,5,2.7,73,89.2,49.2,20,52,26.7,12.2
Congressional District 8 (115th Congress),TX,37.1,82.6,8.4,0.4,2.8,0.1,3.3,2.4,64.8,86.8,29.9,9.8,54.2,20.1,12
Congressional District 9 (115th Congress),TX,32.9,37.3,37.8,0.2,11.7,0.1,11.1,1.8,69.1,77.6,25.3,8.8,55.5,13.5,20.7
Congressional District 10 (115th Congress),TX,35.2,74,10.9,0.4,5.6,0,6.3,2.8,72.7,88.4,38.6,13.1,57.5,24,10.3
Congressional District 11 (115th Congress),TX,35.2,86.7,3.8,0.5,1.1,0,5.6,2.2,68,81.8,20.7,6.1,53.8,23.8,13.1
Congressional District 12 (115th Congress),TX,35.1,79.5,8.5,0.5,3.4,0.1,4.9,3,71.3,88.3,31.1,10.2,53.8,18.3,11.3
Congressional District 13 (115th Congress),TX,36.2,85.2,5.4,0.8,2,0.1,3.2,3.2,67.9,83.3,20.2,6.1,46,16.6,15.7
Congressional District 14 (115th Congress),TX,36.9,71.7,19.9,0.5,3.1,0,2.7,2.2,64.1,85.4,23.3,7.6,57.3,23.5,15.6
Congressional District 15 (115th Congress),TX,31.2,85,1.9,0.3,1.1,0,10.3,1.5,61.8,69.5,19.3,5.6,40.3,13.9,27.7
Congressional District 16 (115th Congress),TX,32.8,81.5,3.9,0.6,1.3,0.1,10.2,2.5,64.4,79.1,24,7.7,54,14.3,20.4
Congressional District 17 (115th Congress),TX,33.2,74.7,13.1,0.5,4.8,0,4.1,2.8,67.7,85.6,29.7,10.8,53.6,27.5,18.4
Congressional District 18 (115th Congress),TX,32.4,47.5,37.4,0.3,3.7,0.1,9,2,65.8,76.4,21.8,7.9,52.8,19.1,22.7
Congressional District 19 (115th Congress),TX,33.1,82.7,6.2,0.8,1.4,0.1,6.1,2.7,66,81.5,21.9,7.5,52.4,25.2,17.3
Congressional District 20 (115th Congress),TX,32,81.9,5.3,0.7,3.2,0.2,6,2.8,67.6,81.4,24.1,8.3,55.7,21.8,18.4
Congressional District 21 (115th Congress),TX,37.8,86.6,3.6,0.5,3.5,0.1,2.8,3,72.8,93,45.4,16.8,56.1,25.8,11.3
Congressional District 22 (115th Congress),TX,36,61.4,13.5,0.4,17.9,0,3.9,2.8,70.9,90.6,45.2,17.2,50.8,24.1,7.8
Congressional District 23 (115th Congress),TX,33.3,83.1,3.4,0.8,1.4,0,9.2,2.1,63.5,75.2,21.5,7.5,49.9,22.8,17.8
Congressional District 24 (115th Congress),TX,35.8,65.2,11.5,0.4,13.3,0.3,6,3.3,77.9,90.3,44.8,15.9,37.6,18.1,9.1
Congressional District 25 (115th Congress),TX,36.4,83.7,7.1,0.5,3,0.3,2,3.5,67.5,89.9,37,13.4,50.9,24.2,11.2
Congressional District 26 (115th Congress),TX,35.5,78.9,7.7,0.4,6.1,0.1,3.3,3.6,75.6,92.3,42.7,13.8,41.3,21.1,7.7
Congressional District 27 (115th Congress),TX,37.1,85.4,5.1,0.4,1.6,0.1,5.3,2.1,68,81.5,19.2,6.5,53.1,21.6,15.9
Congressional District 28 (115th Congress),TX,31.7,87.8,4.3,0.2,1.1,0.1,4.7,1.8,62.2,71.3,18,5.6,60,16.5,25.2
Congressional District 29 (115th Congress),TX,30.5,75.9,10.9,0.6,1.6,0,9.5,1.5,65.7,60.7,9.6,2.7,54.9,22.7,25
Congressional District 30 (115th Congress),TX,32.8,47.7,43.5,0.2,2,0,4.5,2.1,65.3,76.5,20.2,6.9,50.8,13.2,23.2
Congressional District 31 (115th Congress),TX,34.8,75.8,11.4,0.5,4.8,0.3,3,4.2,71.4,91.9,34.7,11.6,43.2,16,9.9
Congressional District 32 (115th Congress),TX,36.4,67.8,13.2,0.3,8.4,0,6.8,3.5,74.4,86.5,43.2,15.9,55.4,16.2,12.4
Congressional District 33 (115th Congress),TX,30,66,16.1,0.4,2.2,0,13.3,1.9,66.2,58.5,9.6,2.8,51,23.6,25.7
Congressional District 34 (115th Congress),TX,32,92,1.3,0.2,0.6,0,4.8,1,58.5,67.6,15.4,4.5,58.5,23.8,29.3
Congressional District 35 (115th Congress),TX,32.5,74.9,9.4,0.7,1.5,0.1,10.5,2.9,69,77.5,19.9,6.1,51.7,16.9,21.8
Congressional District 36 (115th Congress),TX,37.8,82.4,8.9,0.6,2.1,0,3.9,2.1,63.5,84.1,18.7,5.9,37.1,16.2,13.9
Utah,,31,86.8,1.1,1.1,2.3,0.9,5,2.8,72.6,91.8,32.5,11,56.1,18.4,11
Congressional District 1 (115th Congress),UT,31,90,1.1,1,1.5,0.4,3.3,2.9,72.3,92.3,29.3,9.3,43.8,18.5,10.5
Congressional District 2 (115th Congress),UT,32.7,83.4,1.1,1.1,2.5,1.2,7.9,2.8,71.4,90.4,32,12,62.2,19.1,13.2
Congressional District 3 (115th Congress),UT,28.4,91.1,0.6,1.4,1.9,0.6,1.8,2.6,71.6,94.1,40.5,13.8,61.2,18.5,11.4
Congressional District 4 (115th Congress),UT,31.5,83.1,1.7,0.7,3.2,1.4,7.1,2.9,75.1,90.6,29.2,9.2,59.4,22,9.2
Vermont,,42.6,94.5,1.3,0.3,1.5,0,0.4,1.9,74,92.3,36.8,15,66.5,16.2,11.4
Congressional District 0 (115th Congress),VT,42.6,94.5,1.3,0.3,1.5,0,0.4,1.9,74,92.3,36.8,15,49.8,23.9,11.4
Virginia,,38.2,68.4,19.2,0.3,6.2,0.1,2.4,3.5,71.3,89,37.6,16.1,49.8,23.9,11.2
Congressional District 1 (115th Congress),VA,39.1,73.4,16.5,0.4,3.1,0.1,2.7,3.9,73.6,91.2,35.7,13.9,51,22,7.2
Congressional District 2 (115th Congress),VA,36.1,68.1,20,0.3,5.4,0.1,1.6,4.5,72.2,92.3,34,12.9,57,22.8,9.7
Congressional District 3 (115th Congress),VA,35,45.2,46.2,0.3,2.6,0.1,1.8,3.8,68.4,88.4,25.8,10,49.8,20.2,16.7
Congressional District 4 (115th Congress),VA,37.5,52,41.2,0.3,1.9,0.1,1.3,3.2,66.1,86.5,28.5,10.9,34.1,21.9,16.3
Congressional District 5 (115th Congress),VA,42.6,75,19.7,0.2,1.8,0,1.1,2.3,66.8,85.6,27.4,11.7,54.1,21.5,14.3
Congressional District 6 (115th Congress),VA,39.5,83.4,10.9,0.2,1.9,0.1,0.9,2.6,68.7,86.8,26.9,10.2,48.9,27.7,14.5
Congressional District 7 (115th Congress),VA,39.7,71.5,17.8,0.3,5,0.1,2.2,3.1,73.6,90.6,38.2,14.6,49.4,27,8.2
Congressional District 8 (115th Congress),VA,36.1,63.6,14.2,0.3,11.4,0.1,6.2,4.3,79.8,90.7,61.5,31.5,54.1,22.3,8.5
Congressional District 9 (115th Congress),VA,42.9,91,5.4,0.2,1.4,0,0.6,1.4,60.3,82.9,20.2,8.1,39.7,16.6,18.4
Congressional District 10 (115th Congress),VA,38,71.7,6.9,0.3,14.1,0.1,2.6,4.3,76.2,92.3,54.9,24.4,51.6,27.9,4.8
Congressional District 11 (115th Congress),VA,37.4,58.5,13.4,0.2,18.1,0.1,5,4.7,76.3,91.4,55,25.7,59.4,16.5,6.7
Washington,,37.7,76.7,3.7,1.3,8.1,0.6,4.1,5.5,69.8,90.8,34.5,12.7,62.6,18.2,12.2
Congressional District 1 (115th Congress),WA,38.3,79.5,1.3,1.2,10.5,0.2,2.8,4.5,72.4,93.6,42.8,15.5,50.3,21.2,7.6
Congressional District 2 (115th Congress),WA,38.7,77.9,3,1.2,8.4,0.6,3.1,5.9,71,91.9,30.9,10.2,54,18.9,11.8
Congressional District 3 (115th Congress),WA,39.9,86.7,1.4,0.8,3.4,0.5,2.6,4.6,66.9,90.6,24.7,8.7,52.3,22.6,12.3
Congressional District 4 (115th Congress),WA,34.1,76.1,1.2,2.6,1.6,0.1,14.8,3.7,67.3,79,20.1,7.4,53.2,22.1,16.7
Congressional District 5 (115th Congress),WA,37.9,88.1,1.5,1.7,2.4,0.4,1.6,4.3,64.9,92.5,28.9,11,54.1,23.3,15.9
Congressional District 6 (115th Congress),WA,41.5,82,3.5,2,4.1,0.6,1.8,6,64.5,92.2,29.2,10.9,50.1,24,12.9
Congressional District 7 (115th Congress),WA,36.9,74.3,4.2,0.6,11.5,0.5,2.6,6.3,77.3,94.9,59.5,24.4,46.5,25.6,10.7
Congressional District 8 (115th Congress),WA,37.6,78.5,2.9,1,8.4,0.7,3.3,5.2,71.2,91.2,33.7,11.7,35,17.6,9.4
Congressional District 9 (115th Congress),WA,36.9,51.9,11,0.7,23.1,1.3,5.2,6.8,72.9,89.1,41.5,15.6,60.2,17.7,12.3
Congressional District 10 (115th Congress),WA,36.1,73.3,6.3,1.5,6.5,1.7,3,7.6,67.4,91.7,27.6,9.4,48.6,20,13
West Virginia,,42.4,93.3,3.6,0.2,0.8,0,0.4,1.7,60.4,85.9,19.9,7.9,51.5,27.4,17.8
Congressional District 1 (115th Congress),WV,41.2,94.5,2.5,0.1,1,0,0.3,1.6,62.8,88.7,22.5,9.1,51.3,27.7,16.8
Congressional District 2 (115th Congress),WV,42.5,91.9,4.5,0.2,0.8,0,0.5,2.1,64.2,86.7,21.3,8.4,51.9,26.1,15.1
Congressional District 3 (115th Congress),WV,43.2,93.7,3.7,0.2,0.5,0,0.4,1.5,53.8,82.3,15.8,6.1,51.4,28.5,21.6
Wisconsin,,39.5,85.9,6.3,0.9,2.6,0,1.9,2.3,75.2,91.7,29,9.9,51.2,22.7,12.3
Congressional District 1 (115th Congress),WI,40.6,87.5,5.6,0.4,1.8,0,2,2.6,74,91.8,28.1,9.5,53.5,22.1,10.4
Congressional District 2 (115th Congress),WI,36.4,86.3,4.5,0.3,4.2,0,1.9,2.8,78.2,94,41.2,16.1,48.5,19.1,12.4
Congressional District 3 (115th Congress),WI,38.7,93.6,1.1,0.6,2.2,0.1,0.8,1.7,74.7,92.2,24.8,8.4,54,23.2,13.3
Congressional District 4 (115th Congress),WI,33.2,52,33.8,0.5,3.9,0,6,3.8,67.3,85,27.4,10.1,31.1,18.9,24.6
Congressional District 5 (115th Congress),WI,41.6,91.6,2.2,0.3,2.7,0,1.2,1.9,78.8,94.2,36.4,12,57.7,24.7,7.5
Congressional District 6 (115th Congress),WI,42.1,92.8,1.6,0.4,2.4,0,1,1.7,76,92,25.6,8,54.6,24.2,9.5
Congressional District 7 (115th Congress),WI,44.4,93.5,0.8,2,1.6,0,0.4,1.7,75.4,91.7,22.7,7.4,54.7,25.7,10.9
Congressional District 8 (115th Congress),WI,40.5,89.8,1.3,2.4,2.3,0,2.1,2.1,77.4,92.2,25.7,7.6,53.9,23.3,10.1
Wyoming,,37.5,91.3,1,2.3,0.9,0.1,1.8,2.6,74.1,92.8,26.7,9.3,52.9,21.4,11.1
Congressional District 0 (115th Congress),WY,37.5,91.3,1,2.3,0.9,0.1,1.8,2.6,74.1,92.8,26.7,9.3,52.9,21.4,11.1
Puerto Rico,,41.4,68.9,9.8,0.3,0.2,0,14.8,6.1,45.4,74.7,24.9,7.1,45.6,30.3,44.9
Resident Commissioner District 0 (115th Congress),,41.4,68.9,9.8,0.3,0.2,0,14.8,6.1,45.4,74.7,24.9,7.1,45.6,30.3,44.9